policy	candidate	theorem_gain	candidate_class	statement_class	kind	module	examples
strict_zero	Classical.indefiniteDescription	90	4	0	definition	Init.Classical	AffineSubspace.SOppSide.nonempty;AffineSubspace.SSameSide.nonempty;AffineSubspace.WOppSide.nonempty;AffineSubspace.WSameSide.nonempty;CategoryTheory.Functor.preservesZeroMorphisms_of_full
strict_zero	Set.univ_subset_iff	71	3	0	theorem	Mathlib.Data.Set.Basic	AddAction.fixedBy_zero_eq_univ;AddAction.orbit_eq_univ;Class.eq_univ_iff_forall;Class.eq_univ_of_forall;ConnectedComponents.range_coe
strict_zero	Set.eq_univ_iff_forall	65	3	0	theorem	Mathlib.Data.Set.Basic	AddAction.fixedBy_zero_eq_univ;AddAction.orbit_eq_univ;Class.eq_univ_iff_forall;Class.eq_univ_of_forall;ConnectedComponents.range_coe
strict_zero	Set.forall_mem_image	64	3	0	theorem	Mathlib.Data.Set.Image	BddAbove.smul_of_nonneg;Filter.mem_map_iff_exists_image;Monotone.csSup_image_le;Monotone.csSup_image_le_map_csSup;Monotone.image_upperBounds_subset_upperBounds_image
strict_zero	SetLike.ext	51	3	0	theorem	Mathlib.Data.SetLike.Basic	AddSubmonoid.ext;AddSubmonoid.ext_iff;AddSubmonoid.map_id;AddSubsemigroup.ext;AddSubsemigroup.ext_iff
strict_zero	Set.forall_mem_image2	49	7	0	theorem	Mathlib.Data.Set.NAry	AddSubmonoid.add_subset;BddAbove.add;BddAbove.bddAbove_image2_of_bddBelow;BddAbove.image2;BddAbove.mul
strict_zero	_private.Mathlib.Data.Set.NAry.0.Set.forall_mem_image2._proof_1_1	49	7	0	theorem	Mathlib.Data.Set.NAry	AddSubmonoid.add_subset;BddAbove.add;BddAbove.bddAbove_image2_of_bddBelow;BddAbove.image2;BddAbove.mul
strict_zero	Set.forall_mem_range	46	3	0	theorem	Mathlib.Data.Set.Image	AddAction.mapsTo_vadd_orbit;AddAction.orbit_vadd_subset;Function.LeftInverse.rightInvOn_range;IsRelLowerSet.iInter;IsRelLowerSet.iInter₂
strict_zero	neg_sub	45	1	0	theorem	Mathlib.Algebra.Group.Basic	AbsoluteValue.map_sub_eq_zero_iff;AddAction.Regular.isPretransitive;AddAction.Regular.isPretransitive_addOpposite;AddAction.isPretransitive_iff_base;AddGroup.addLeftReflectLE_of_addLeftMono
strict_zero	Nat.rel_of_forall_rel_succ_of_le_of_le	43	7	0	theorem	Mathlib.Order.Monotone.Basic	Bound.le_self_pow_of_pos;Bound.pow_le_pow_right_of_le_one_or_one_le;Mathlib.Meta.NormNum.isNat_le_true;Mathlib.Meta.NormNum.isNat_lt_false;Mathlib.Meta.Positivity.nonneg_of_isNat
strict_zero	SubtractionMonoid.toSubNegZeroMonoid	43	1	0	definition	Mathlib.Algebra.Group.Basic	AbsoluteValue.map_sub_eq_zero_iff;AddAction.Regular.isPretransitive;AddAction.Regular.isPretransitive_addOpposite;AddAction.isPretransitive_iff_base;AddGroup.addLeftReflectLE_of_addLeftMono
strict_zero	SubtractionMonoid.toSubNegZeroMonoid._proof_1	43	1	0	theorem	Mathlib.Algebra.Group.Basic	AbsoluteValue.map_sub_eq_zero_iff;AddAction.Regular.isPretransitive;AddAction.Regular.isPretransitive_addOpposite;AddAction.isPretransitive_iff_base;AddGroup.addLeftReflectLE_of_addLeftMono
strict_zero	Classical.em	41	7	0	theorem	Init.Classical	Acc.induction_bot;Acc.induction_bot';Flag.le_or_le;IsChain.directedOn;IsChain.lt_of_not_ge
strict_zero	Option.some.injEq	41	1	0	theorem	Init.Core	Computability.Encoding.encode_injective;ENat.coe_inj;ENat.natCast_inj;Interval.coe_inj;Interval.coe_injective
strict_zero	Option.some_inj	41	1	0	theorem	Init.Data.Option.Instances	Computability.Encoding.encode_injective;ENat.coe_inj;ENat.natCast_inj;Interval.coe_inj;Interval.coe_injective
strict_zero	Pi.instSubsingleton	41	2	0	theorem	Init.Core	AList.lookup.congr_simp;CStarMatrix.instSubsingleton;ChainComplex.of.d.congr_simp;CochainComplex.of.d.congr_simp;ContinuousMap.instSubsingleton
strict_zero	covariant_flip_iff	41	3	0	theorem	Mathlib.Algebra.Order.Monoid.Unbundled.Defs	Antivary.add_left;Antivary.mul_left;AntivaryOn.add_left;AntivaryOn.mul_left;CanonicallyOrderedAdd.toIsOrderedMonoid
strict_zero	Nat.rel_of_forall_rel_succ_of_le	40	7	0	theorem	Mathlib.Order.Monotone.Basic	Bound.le_self_pow_of_pos;Bound.pow_le_pow_right_of_le_one_or_one_le;Mathlib.Meta.NormNum.isNat_le_true;Mathlib.Meta.NormNum.isNat_lt_false;Mathlib.Meta.Positivity.nonneg_of_isNat
strict_zero	inv_div	39	1	0	theorem	Mathlib.Algebra.Group.Basic	ClosedSubgroup.ext;ClosedSubgroup.ext_iff;Group.covariant_iff_contravariant;Group.covariant_swap_iff_contravariant_swap;Group.covconv
strict_zero	monotone_nat_of_le_succ	39	7	0	theorem	Mathlib.Order.Monotone.Basic	Bound.le_self_pow_of_pos;Bound.pow_le_pow_right_of_le_one_or_one_le;Mathlib.Meta.NormNum.isNat_le_true;Mathlib.Meta.NormNum.isNat_lt_false;Mathlib.Meta.Positivity.nonneg_of_isNat
strict_zero	Set.Subset.antisymm	38	3	0	theorem	Mathlib.Data.Set.Basic	BddAbove.union;BddBelow.union;Bundle.TotalSpace.range_mk;Filter.generate_singleton;Filter.image_mem_map_iff
strict_zero	DivisionMonoid.toDivInvOneMonoid	37	1	0	definition	Mathlib.Algebra.Group.Basic	ClosedSubgroup.ext;ClosedSubgroup.ext_iff;Group.covariant_iff_contravariant;Group.covariant_swap_iff_contravariant_swap;Group.covconv
strict_zero	DivisionMonoid.toDivInvOneMonoid._proof_1	37	1	0	theorem	Mathlib.Algebra.Group.Basic	ClosedSubgroup.ext;ClosedSubgroup.ext_iff;Group.covariant_iff_contravariant;Group.covariant_swap_iff_contravariant_swap;Group.covconv
strict_zero	Set.image_subset_iff	33	3	0	theorem	Mathlib.Data.Set.Image	Filter.mem_map_iff_exists_image;Set.MapsTo.image_subset;Set.MapsTo.nonempty;Set.eval_image_pi_subset;Set.eval_image_univ_pi_subset
strict_zero	tsub_le_iff_left	33	1	0	theorem	Mathlib.Algebra.Order.Sub.Defs	AddLECancellable.add_tsub_cancel_left;AddLECancellable.add_tsub_cancel_right;AddLECancellable.eq_tsub_of_add_eq;AddLECancellable.eq_tsub_of_add_eq';AddLECancellable.le_add_tsub
strict_zero	Equiv.trans	32	2	0	definition	Mathlib.Logic.Equiv.Defs	CategoryTheory.instFiniteArrowDiscrete;CategoryTheory.locallySmall_max;Equiv.finite_iff;Equiv.infinite_iff;Finite.of_equiv
strict_zero	by_contradiction	31	7	0	theorem	Mathlib.Logic.Basic	IsAntichain.antisymm;IsAntichain.eq;IsAntichain.eq';IsAntichain.maximal_mem_iff;IsAntichain.maximal_mem_lowerClosure_iff_mem
strict_zero	GaloisConnection._proof_3	30	3	0	theorem	Mathlib.Order.GaloisConnection.Defs	GaloisCoinsertion.l_injective;GaloisCoinsertion.leftInverse_u_l;GaloisCoinsertion.u_l_eq;GaloisCoinsertion.u_l_leftInverse;GaloisCoinsertion.u_surjective
strict_zero	GaloisConnection._to_dual_cast_4	30	3	0	theorem	Mathlib.Order.GaloisConnection.Defs	GaloisCoinsertion.l_injective;GaloisCoinsertion.leftInverse_u_l;GaloisCoinsertion.u_l_eq;GaloisCoinsertion.u_l_leftInverse;GaloisCoinsertion.u_surjective
strict_zero	Set.Subset.antisymm_iff	30	3	0	theorem	Mathlib.Data.Set.Basic	CovBy.Ioo_eq;NoBotOrder.lowerBounds_univ;NoTopOrder.upperBounds_univ;Set.Icc_eq_empty;Set.Icc_eq_empty_of_lt
strict_zero	Set.eq_univ_of_forall	30	3	0	theorem	Mathlib.Data.Set.Basic	Class.eq_univ_of_forall;Function.mulSupport_eq_univ;Function.support_eq_univ;IsBot.Ici_eq;IsLowerSet.top_mem
strict_zero	by_contra	30	7	0	theorem	Mathlib.Logic.Basic	IsAntichain.antisymm;IsAntichain.eq;IsAntichain.eq';IsAntichain.maximal_mem_iff;IsAntichain.maximal_mem_lowerClosure_iff_mem
strict_zero	covariant_swap_add_of_covariant_add	28	3	0	theorem	Mathlib.Algebra.Order.Monoid.Unbundled.Defs	Antivary.add_left;AntivaryOn.add_left;ConvexOn.convex_le;ConvexOn.quasiconvexOn;Function.Injective.isOrderedAddMonoid
strict_zero	le_add_tsub	28	1	0	theorem	Mathlib.Algebra.Order.Sub.Defs	AddLECancellable.add_tsub_cancel_left;AddLECancellable.add_tsub_cancel_right;AddLECancellable.eq_tsub_of_add_eq;AddLECancellable.eq_tsub_of_add_eq';AddLECancellable.le_add_tsub
strict_zero	Classical.not_not	27	7	0	theorem	Init.Classical	Finite.not_infinite;Finite.of_not_infinite;Function.notMem_mulSupport;Function.notMem_support;Iff.ne_left
strict_zero	Set.subset_empty_iff	27	3	0	theorem	Mathlib.Data.Set.Basic	CovBy.Ioo_eq;NoBotOrder.lowerBounds_univ;NoTopOrder.upperBounds_univ;Set.Icc_eq_empty;Set.Icc_eq_empty_of_lt
strict_zero	GaloisConnection.le_u	26	3	0	theorem	Mathlib.Order.GaloisConnection.Defs	GaloisCoinsertion.l_injective;GaloisCoinsertion.leftInverse_u_l;GaloisCoinsertion.u_l_eq;GaloisCoinsertion.u_l_leftInverse;GaloisCoinsertion.u_surjective
strict_zero	funext_iff	26	2	0	theorem	Init.Ext	AddMonoidHom.mulLeft_eq_mulRight_iff_forall_commute;AddMonoidHom.mulRight_eq_mulLeft_iff_forall_commute;DFunLike.ext_iff;Function.Commute.invOn_fixedPoints_comp;Function.Commute.left_bijOn_fixedPoints_comp
strict_zero	sdiff_le_iff'	26	1	0	theorem	Mathlib.Order.Heyting.Basic	BiheytingHomClass.toHeytingHomClass;CoheytingHomClass.toBoundedLatticeHomClass;Disjoint.disjoint_sdiff_left;Disjoint.disjoint_sdiff_right;LE.le.codisjoint_hnot_left
strict_zero	Classical.ofNonempty	25	4	0	definition	Init.Prelude	Classical.nonempty_pi;Interval.instNontrivialOfNonempty;IsAddLeftRegular.sumMk;IsAddRightRegular.sumMk;IsCofinal.nonempty
strict_zero	Units.coe_dvd	25	1	0	theorem	Mathlib.Algebra.Divisibility.Units	Irreducible.associated_of_dvd;Irreducible.dvd_iff;Irreducible.dvd_irreducible_iff_associated;Irreducible.not_dvd_isUnit;Irreducible.not_dvd_one
strict_zero	or_self	25	1	0	theorem	Init.SimpLemmas	Set.left_mem_cIcc;Set.right_mem_cIcc;Std.Total.directed;Std.Total.directedOn;Std.Total.to_isDirected
strict_zero	IsUnit.dvd	24	1	0	theorem	Mathlib.Algebra.Divisibility.Units	Irreducible.associated_of_dvd;Irreducible.dvd_iff;Irreducible.dvd_irreducible_iff_associated;Irreducible.not_dvd_isUnit;Irreducible.not_dvd_one
strict_zero	Stream'.corec_eq	24	2	0	theorem	Mathlib.Data.Stream.Init	Stream'.cons_get_inits_core;Stream'.corec'_eq;Stream'.corec_eq;Stream'.cycle_eq;Stream'.even_cons_cons
strict_zero	em	23	7	0	theorem	Mathlib.Logic.Basic	Acc.induction_bot;Acc.induction_bot';Flag.le_or_le;IsChain.directedOn;IsChain.lt_of_not_ge
strict_zero	Classical.or_iff_not_imp_left	22	7	0	theorem	Init.Classical	CategoryTheory.ObjectProperty.pair_iff;DyckStep.dichotomy;FirstOrder.Language.BoundedFormula.realize_sup;IsIdempotentElem.iff_eq_zero_or_one;IsLeftCancelMulZero.to_noZeroDivisors
strict_zero	Lean.Elab.Tactic.nonempty_to_inhabited	22	4	0	definition	Mathlib.Tactic.Inhabit	Interval.instNontrivialOfNonempty;IsAddLeftRegular.sumMk;IsAddRightRegular.sumMk;IsCofinal.nonempty;IsLeftRegular.prodMk
strict_zero	covariant_le_of_covariant_lt	22	7	0	theorem	Mathlib.Algebra.Order.Monoid.Unbundled.Defs	Set.Icc_add_Ico_subset;Set.Icc_mul_Ico_subset';Set.Ici_add_Ioi_subset;Set.Ici_mul_Ioi_subset';Set.Ico_add_Icc_subset
strict_zero	lt_or_eq_of_le'	22	7	0	theorem	Mathlib.Order.Defs.PartialOrder	DirectedOn.csInf_eq_of_forall_ge_of_forall_gt_exists_lt;HasSubset.Subset.eq_of_not_ssuperset;LE.le.eq_of_not_lt';LE.le.eq_of_not_ssubset';LE.le.eq_of_not_ssuperset
strict_zero	Computation.mem_unique	21	1	0	theorem	Mathlib.Data.Seq.Computation	Computation.Mem.left_unique;Computation.Results.val_unique;Computation.eq_of_pure_mem;Computation.equiv_of_mem;Computation.equiv_pure_of_mem
strict_zero	Filter.EventuallyEq.prodMk	21	1	0	theorem	Mathlib.Order.Filter.Basic	Filter.EventuallyEq.add;Filter.EventuallyEq.add_left;Filter.EventuallyEq.add_right;Filter.EventuallyEq.comp₂;Filter.EventuallyEq.diff
strict_zero	Nat.add_left_cancel	21	1	0	theorem	Init.Data.Nat.Basic	FirstOrder.Language.order.forall_relations;Function.IsPeriodicPt.right_of_add;List.Vector.get_cons_nil;List.Vector.singleton_tail;List.length_eq_four
strict_zero	covariantClass_le_of_lt	21	7	0	theorem	Mathlib.Algebra.Order.Monoid.Unbundled.Defs	Set.Icc_add_Ico_subset;Set.Icc_mul_Ico_subset';Set.Ici_add_Ioi_subset;Set.Ici_mul_Ioi_subset';Set.Ico_add_Icc_subset
strict_zero	or_self_iff	21	1	0	theorem	Init.PropLemmas	Set.left_mem_cIcc;Set.right_mem_cIcc;ValuativeRel.instReflVeq;ValuativeRel.instReflVle;ValuativeRel.veq.refl
strict_zero	Filter.EventuallyEq.comp₂	20	1	0	theorem	Mathlib.Order.Filter.Basic	Filter.EventuallyEq.add;Filter.EventuallyEq.add_left;Filter.EventuallyEq.add_right;Filter.EventuallyEq.comp₂;Filter.EventuallyEq.diff
strict_zero	FunLike.coe_smul	20	3	0	theorem	Mathlib.Data.FunLike.IsApply	AddGroupSeminorm.coe_smul;ContDiffMapSupportedIn.coe_smul;ContinuousLinearMap.coe_smul';CuspForm.IsGLPos.coe_smul;CuspForm.coe_smul
strict_zero	Function.Semiconj.comp_right	20	1	0	theorem	Mathlib.Logic.Function.Conjugate	Function.Commute.comp_right;Function.Commute.iterate_iterate;Function.Commute.iterate_iterate_self;Function.Commute.iterate_left;Function.Commute.iterate_right
strict_zero	Quotient.eq	20	3	0	theorem	Mathlib.Data.Quot	AddCon.eq;Con.eq;ConnectedComponents.coe_eq_coe;ConnectedComponents.coe_ne_coe;DirectLimit.mk_injective
strict_zero	Set.pairwise_insert_of_symm	20	7	0	theorem	Mathlib.Data.Set.Pairwise.Basic	Flag.bot_mem;Flag.top_mem;IsAntichain.insert_of_symm;IsAntichain.insert_of_symmetric;IsChain.insert
strict_zero	Set.range_comp	20	3	0	theorem	Mathlib.Data.Set.Image	LeftOrdContinuous.map_ciSup;LeftOrdContinuous.map_iSup;Prod.fst_iInf;Prod.fst_iSup;Prod.iInf_mk
strict_zero	eq_or_lt_of_le'	20	7	0	theorem	Mathlib.Order.Basic	DirectedOn.csInf_eq_of_forall_ge_of_forall_gt_exists_lt;HasSubset.Subset.eq_of_not_ssuperset;LE.le.eq_of_not_lt';LE.le.eq_of_not_ssubset';LE.le.eq_of_not_ssuperset
strict_zero	sup_eq_right	20	1	0	theorem	Mathlib.Order.Lattice	Disjoint.right_lt_sup_of_left_ne_bot;Monotone.of_le_map_sup;Monotone.of_left_le_map_sup;Monotone.of_map_sup;MonotoneOn.of_map_sup
strict_zero	AddMonoid.ext	19	2	0	theorem	Mathlib.Algebra.Group.Ext	AddCancelMonoid.ext;AddCancelMonoid.ext_iff;AddCancelMonoid.toAddRightCancelMonoid_injective;AddCommMonoid.ext;AddCommMonoid.ext_iff
strict_zero	FunLike.coe_zero	19	3	0	theorem	Mathlib.Data.FunLike.IsApply	AddGroupSeminorm.coe_zero;ContDiffMapSupportedIn.coe_zero;ContinuousLinearMap.coe_zero';CuspForm.coe_zero;FunLike.coe_zero
strict_zero	LE.le.eq_or_lt'	19	7	0	theorem	Mathlib.Order.Basic	DirectedOn.csInf_eq_of_forall_ge_of_forall_gt_exists_lt;HasSubset.Subset.eq_of_not_ssuperset;LE.le.eq_of_not_lt';LE.le.eq_of_not_ssubset';LE.le.eq_of_not_ssuperset
strict_zero	MulOpposite.unop_bijective	19	2	0	theorem	Mathlib.Algebra.Opposites	MulOpposite.instIsCancelAdd;MulOpposite.instIsCancelMulZero;MulOpposite.instIsCentralScalar;MulOpposite.instIsLeftCancelAdd;MulOpposite.instIsLeftCancelMulZeroOfIsRightCancelMulZero
strict_zero	Nat.mul_assoc	19	1	0	theorem	Init.Data.Nat.Basic	CharP.CharOne.subsingleton;CharP.cast_eq_zero;CharP.false_of_nontrivial_of_char_one;CharP.ofNat_eq_zero;IsPrimitiveRoot.of_subsingleton
strict_zero	Nat.mul_assoc._f	19	1	0	definition	Init.Data.Nat.Basic	CharP.CharOne.subsingleton;CharP.cast_eq_zero;CharP.false_of_nontrivial_of_char_one;CharP.ofNat_eq_zero;IsPrimitiveRoot.of_subsingleton
strict_zero	Set.image_eq_range	19	3	0	theorem	Mathlib.Data.Set.Image	CompleteSublattice.coe_sInf';CompleteSublattice.coe_sSup';DirectedOn.ciInf_set_le;DirectedOn.isGLB_ciInf_set;DirectedOn.isLUB_ciSup_set
strict_zero	isUnit_iff_dvd_one	19	1	0	theorem	Mathlib.Algebra.Divisibility.Units	Irreducible.not_dvd_isUnit;Irreducible.not_dvd_one;Irreducible.not_dvd_unit;IsUnit.isRelPrime_left;IsUnit.isRelPrime_right
strict_zero	AddLECancellable.le_add_tsub_swap	18	1	0	theorem	Mathlib.Algebra.Order.Sub.Defs	AddLECancellable.add_tsub_cancel_left;AddLECancellable.add_tsub_cancel_right;AddLECancellable.eq_tsub_of_add_eq;AddLECancellable.eq_tsub_of_add_eq';AddLECancellable.le_add_tsub
strict_zero	Function.Semiconj.iterate_right	18	1	0	theorem	Mathlib.Logic.Function.Iterate	Function.Commute.iterate_iterate;Function.Commute.iterate_iterate_self;Function.Commute.iterate_left;Function.Commute.iterate_right;Function.Commute.iterate_self
strict_zero	Nat.add_sub_of_le	18	1	0	theorem	Init.Data.Nat.Basic	Nat.choose_eq_choose_pred_add;Nat.choose_succ_left;Nat.choose_succ_right;Nat.instCanonicallyOrderedAdd;Nat.mul_factorial_pred
strict_zero	Stream'.ext	18	2	0	theorem	Mathlib.Data.Stream.Init	Stream'.Seq.coinduction;Stream'.coinduction;Stream'.cons_injective2;Stream'.cons_injective_left;Stream'.cons_injective_right
strict_zero	MulOpposite.unop_injective	17	2	0	theorem	Mathlib.Algebra.Opposites	MulOpposite.instIsCancelAdd;MulOpposite.instIsCancelMulZero;MulOpposite.instIsCentralScalar;MulOpposite.instIsLeftCancelAdd;MulOpposite.instIsLeftCancelMulZeroOfIsRightCancelMulZero
strict_zero	Set.ext_iff	17	3	0	theorem	Mathlib.Data.Set.Defs	LieRinehartSubalgebra.ext_iff';LieSubalgebra.ext_iff';LowerSet.Iic_inj;LowerSet.Iic_injective;LowerSet.Iic_ne_Iic
strict_zero	Set.range_eq_singleton_iff	17	3	0	theorem	Mathlib.Data.Set.Image	Set.range_const;Set.range_eq_singleton;Set.range_eq_singleton_iff;Set.range_one;Set.range_zero
strict_zero	Std.Trichotomous.rel_or_eq_or_rel_swap	17	7	0	theorem	Init.Data.Order.Lemmas	List.Lex.isOrderConnected;Prod.total_right;Prod.trichotomous;RelEmbedding.isWellOrder;RelHom.injective_of_increasing
strict_zero	of_not_not	17	7	0	theorem	Mathlib.Logic.Basic	IsAntichain.antisymm;IsAntichain.eq;IsAntichain.eq';IsAntichain.maximal_mem_iff;IsAntichain.maximal_mem_lowerClosure_iff_mem
strict_zero	sup_eq_left	17	1	0	theorem	Mathlib.Order.Lattice	eq_top_of_bot_isCompl;eq_top_of_isCompl_bot;leOnePart_eq_inv';le_of_sup_eq';left_eq_sup
strict_zero	trichotomous	17	7	0	theorem	Mathlib.Order.Defs.Unbundled	List.Lex.isOrderConnected;Prod.total_right;Prod.trichotomous;RelEmbedding.isWellOrder;RelHom.injective_of_increasing
strict_zero	AddLECancellable.le_add_tsub	16	1	0	theorem	Mathlib.Algebra.Order.Sub.Defs	AddLECancellable.add_tsub_cancel_left;AddLECancellable.add_tsub_cancel_right;AddLECancellable.eq_tsub_of_add_eq;AddLECancellable.eq_tsub_of_add_eq';AddLECancellable.le_add_tsub
strict_zero	Classical.byContradiction	16	7	0	theorem	Init.Classical	CategoryTheory.mono_to_simple_zero_of_not_iso;Classical.by_contradiction;Filter.Frequently.exists;Filter.isBoundedUnder_le_mul_of_nonneg;Filter.le_limsup_of_frequently_le
strict_zero	Finite.of_injective	16	7	0	theorem	Mathlib.Data.Fintype.EquivFin	Finite.of_injective;Finite.psum_left;Finite.psum_right;Finite.sum_left;Finite.sum_right
choice_free	Classical.propDecidable	9540	7	0	definition	Init.Classical	AList.keys_erase;AList.keys_insert;AList.keys_subset_keys_of_entries_subset_entries;AList.lookup_eq_none;AList.lookup_erase
choice_free	lt_or_eq_of_le	1089	7	0	theorem	Mathlib.Order.Defs.PartialOrder	AbsoluteValue.map_prod;AddSubgroup.is_ascending_rev_series_of_is_descending;AddSubgroup.is_descending_rev_series_of_is_ascending;AddSubgroup.toAddSubmonoid_mono;AddValuation.map_le_sub
choice_free	Set.instCompleteAtomicBooleanAlgebra	1010	7	0	definition	Mathlib.Data.Set.BooleanAlgebra	AddAction.IsFixedBlock.isInvariantBlock;AddAction.IsInvariantBlock.isFixedBlock;AddAction.isInvariantBlock_iff_isFixedBlock;AddAction.mem_orbit_symm;AddAction.mem_orbit_vadd
choice_free	Classical.indefiniteDescription	901	4	0	definition	Init.Classical	Acc.induction_bot;Acc.induction_bot';Action.isIso_hom_mk;Action.isIso_of_hom_isIso;AddAction.IsPretransitive.of_embedding
choice_free	Classical.byContradiction	802	7	0	theorem	Init.Classical	Acc.list_chain';AddAction.is_two_pretransitive_iff;AddCancelCommMonoid.ext;AddCancelCommMonoid.ext_iff;AddCancelCommMonoid.toAddCommMonoid_injective
choice_free	eq_or_lt_of_le	586	7	0	theorem	Mathlib.Order.Basic	AddSubgroup.toAddSubmonoid_mono;AddValuation.map_le_sub;AddValuation.map_neg;AddValuation.map_sub;AddValuation.map_sub_swap
choice_free	LE.le.eq_or_lt	559	7	0	theorem	Mathlib.Order.Basic	AddSubgroup.toAddSubmonoid_mono;AddValuation.map_le_sub;AddValuation.map_neg;AddValuation.map_sub;AddValuation.map_sub_swap
choice_free	LE.le.lt_or_eq	355	7	0	theorem	Mathlib.Order.Basic	AddSubgroup.is_ascending_rev_series_of_is_descending;AddSubgroup.is_descending_rev_series_of_is_ascending;Antivary.inv;Antivary.inv_right;Antivary.neg
choice_free	contravariant_le_iff_contravariant_lt_and_eq	351	7	0	theorem	Mathlib.Algebra.Order.Monoid.Unbundled.Defs	AddSubgroup.is_ascending_rev_series_of_is_descending;AddSubgroup.is_descending_rev_series_of_is_ascending;Antivary.inv;Antivary.inv_right;Antivary.neg
choice_free	Classical.em	261	7	0	theorem	Init.Classical	Acc.induction_bot;Acc.induction_bot';AddChar.zmodChar_primitive_of_primitive_root;AddSubgroup.ker_saturated;AddSubmonoid.ker_saturated
choice_free	_private.Mathlib.Algebra.Group.Hom.Defs.0.map_sub'._proof_1_2	231	7	0	theorem	Mathlib.Algebra.Group.Hom.Defs	AddEquiv.map_sub;AddMonoidHom.bijective_of_bijective_of_injective_of_left_exact;AddMonoidHom.bijective_of_surjective_of_bijective_of_bijective_of_injective;AddMonoidHom.comp_sub;AddMonoidHom.map_div₂
